source,user_name,review_description,review_date
Google Play,Pengguna Google,"kemarin saya top up saldo sebesar 200k dan terpotong 10k untuk pajak dan saldo tersisa 190k dan saya belanjakan sebesar 175k, seharusnya masih 15k kenapa jadi 7k",2024-11-19 00:15:49
Google Play,Pengguna Google,"Terimakasih Admin myBCA, dari awal mendaftar sampai bisa buka rekening tidak ada kendala. Saya pengguna baru myBCA.",2024-11-18 23:45:27
Google Play,Pengguna Google,Amanah dan semoga terus amanah,2024-11-18 21:00:12
Google Play,Pengguna Google,Good,2024-11-18 12:26:01
Google Play,Pengguna Google,Good,2024-11-18 11:41:48
Google Play,Pengguna Google,Mantap,2024-11-18 09:18:00
Google Play,Pengguna Google,setiap mau log in pakai wi fi rumah muter terus padahal wi fi di pake apk lain lancar lancar aja,2024-11-18 08:42:34
Google Play,Pengguna Google,Mantap,2024-11-18 07:53:32
Google Play,Pengguna Google,Error,2024-11-18 06:35:50
Google Play,Pengguna Google,Semoga mmbantu,2024-11-18 06:10:34
Google Play,Pengguna Google,Keren,2024-11-18 05:27:15
Google Play,Pengguna Google,bintang 4 dulu kurang lengkap fitur nya kalo bisa tambahin menu E-wallet masa kalah sama Brimo (BRI),2024-11-18 04:48:03
Google Play,Pengguna Google,Good aplication,2024-11-18 04:35:05
Google Play,Pengguna Google,Okok,2024-11-18 04:24:58
Google Play,Pengguna Google,"baru daftar rekening suda terdaftar, abis di tf sma org notif tfnya masuk , tapi saldonya ga nambah",2024-11-18 03:08:26
Google Play,Pengguna Google,"saya mau login ulang di pernagkat yang baru tapi verifikasi wajah gagal terus, kondisi pencahayaan dll bagus, entah bug atau apa, tolong perbaiki",2024-11-18 02:39:41
Google Play,Pengguna Google,"Makin kesini makin gak bisa digunakan , hp ram 6 udah mulai gk bisa pakai gak jelas",2024-11-18 02:07:09
Google Play,Pengguna Google,"Mohon Layanan CS My BCA Nya Di Perbaiki Karena CS My BCA Tidak Profesional Berpura² Tidak Mendengar Panggilan Padahal Komunikasi 2 Menit Berjalan Lancar Namun Finishing Selalu Beralibi Krna 3x Tidak Ada Jawaban Kita Putuskan Panggilan InI Itu - Saja Alasan CS Nya, Mau Buat Laporan Ja Sulit Nya Seperti Di Kantor Polisi Dan Kalau Ada Bintang Di Bawah Bintang 1 Itu Lah Yg Pantas Di Apresiasi Ke CS My BCA.",2024-11-18 00:26:32
Google Play,Pengguna Google,Praktis setiap sa'at dalam satu gemgaman,2024-11-17 23:53:20
Google Play,Pengguna Google,Good,2024-11-17 23:39:17
Google Play,Pengguna Google,Bagus banget......................................,2024-11-17 23:10:14
Google Play,Pengguna Google,Very good...👍👍👍,2024-11-17 19:28:23
Google Play,Pengguna Google,BINTANG SATU DULU SOALNYA BELOM BISA DAFTAR GAK PERNAH DAPAT KODE VERIFIKASI,2024-11-17 17:17:36
Google Play,Pengguna Google,Sangat bermanfaat dan aplikasi terbaik 👍💯,2024-11-17 13:19:55
Google Play,Pengguna Google,Mantap,2024-11-17 12:59:06
Google Play,Pengguna Google,Mayan banyak membantu,2024-11-17 10:21:24
Google Play,Pengguna Google,"Pakek Aplikasi My BCA bulai kurang lebih 2 September, Tampilan UI Nya sangat bagus, warnanya biru Muda terang, gak terlalu Mencolok, Fasililitas Menunya Lengkap, Transfer dll, setelah di Pakek Transfer selama 2 Bulan, Sungguh Luar Biasa Cepatnya, & Bagus sekali, tp Sayang Aplikasi ini Msh Mempunyai 2 Kekurangan, MB Nya Lumayan besar 54 MB, terus gak ada Notifikasi dr Aplikasi ini, gak ada Penanda lagu sprt BRIMO yg Khas, tlg di ksh Pendanda Lagu sprt BRIMO tp Lagun Notifinya Bunyinya MyBCA",2024-11-17 10:14:30
Google Play,Pengguna Google,Membantu keuangan kita,2024-11-17 09:45:36
Google Play,Pengguna Google,Sngat memuaskan .karna tidak pernah hilang sldo,2024-11-17 08:06:52
Google Play,Pengguna Google,"Kenapa tiap hari selalu ada notice pengeluaran dn pemasukan ,tapi saya cek saldo di mbnking, saldo ga berkurang dan ga bertambah",2024-11-17 06:16:21
Google Play,Pengguna Google,Mantaaf BCA,2024-11-17 05:44:29
Google Play,Pengguna Google,"NOMER GUA MASIH ADA PULSA , TAPI KENAPA KODE OTP NY GA KEKIRIM2? TOLONG LAH UNTUK ADMIN BCA GW MAU LOGIN DAN TRANSAKSI TAPI MALAH LU RIBETIN , SIALAN",2024-11-17 05:09:17
Google Play,Pengguna Google,Ok bagus,2024-11-17 04:59:02
Google Play,Pengguna Google,Mudah dan bebas hambatan,2024-11-17 03:55:04
Google Play,Pengguna Google,Memang aplikasi gak guna beda tanda tangan sedikit gak bisa register,2024-11-17 02:33:30
Google Play,Pengguna Google,Tambah wawasan,2024-11-17 02:19:20
Google Play,Pengguna Google,Mantap memuaskan,2024-11-17 01:42:35
Google Play,Pengguna Google,Bagus dan kembangkan terus,2024-11-17 01:35:49
Google Play,Pengguna Google,apk paling buruk,2024-11-17 01:03:45
Google Play,Pengguna Google,Pelayanan BCA semakin terdepan buat Indonesia Terima kasih :),2024-11-16 22:13:20
Google Play,Pengguna Google,Bca trobel,2024-11-16 21:20:01
Google Play,Pengguna Google,Males ada maintenance udah potongan tiap bulan gede bikin GK nyaman pake mbanking,2024-11-16 20:57:36
Google Play,Pengguna Google,Sering pemeliharaan...bukan semakin bagus malah semakin jlk...pemeliharaan sering !!! Tp kualitas jlk,2024-11-16 20:38:16
Google Play,Pengguna Google,Mantap,2024-11-16 20:06:00
Google Play,Pengguna Google,Kecewa asli mana harus di batesin jam 01-05 pagi kaga bisa transfer 😞💩,2024-11-16 18:29:31
Google Play,Pengguna Google,membantu saya untuk menyimpan uang,2024-11-16 18:21:43
Google Play,Pengguna Google,Sangat bagus,2024-11-16 18:19:44
Google Play,Pengguna Google,⭐⭐⭐⭐⭐,2024-11-16 15:08:31
Google Play,Pengguna Google,apa sih ini apk gak jelas. selalu eror bug la. padahal udah daftar sidik jari tapi gak selalu keluar di suruh daftar ulang. masalahnya saya pelupa,2024-11-16 14:50:20
Google Play,Pengguna Google,"Idiet, mengirimkan kode otp lama sekali. Seperti menunggu Emyu untuk menang.",2024-11-16 14:20:12
Google Play,Pengguna Google,"Siap bgt biasanya tgl 18/20 skrg tgl 15 udah ada potongan admin ? Nyesel bgt di tf in ke BCA, mana sisa 50 akhirnya gabisa di bawa jadi gelandangan udah ini mah sial bgt nyesel pake di transfer keBCA",2024-11-16 12:44:10
Google Play,Pengguna Google,Update sebulan sekali biar apa min?,2024-11-16 11:52:41
Google Play,Pengguna Google,Kurangilah update nya masa belum ada satu bulan bisa update 3 sampe 4 kali,2024-11-16 11:37:01
Google Play,Pengguna Google,Kode OTP via SMS gak pernah masuk.,2024-11-16 11:32:08
Google Play,Pengguna Google,Niceee,2024-11-16 11:31:13
Google Play,Pengguna Google,"Pembayaran Pakai Debit Suka Kegantung Mulu ! Di Merchant Saldo Tidak Masuk, Di Pemilik Debit Sudah Kepotong Saldonya !! Tolong Diperbarui Lagi Buat Pembayaran Lewat Debit . NYUSAHIN KAN KALAU BEGINI BUANG BUANG WAKTU HARUS TELPON BCA DULU ..",2024-11-16 11:04:05
Google Play,Pengguna Google,Apa apa di potong gak jelas admin tggl 1 potong tanggal 16 udh kena potong nyekek amat admin nya sekarang,2024-11-16 09:49:27
Google Play,Pengguna Google,Pelayanan sangat bagusss,2024-11-16 09:46:47
Google Play,Pengguna Google,Sangatbpenting,2024-11-16 09:41:21
Google Play,Pengguna Google,Kenapa susah login nya nggk bisa klik lanjut,2024-11-16 09:30:38
Google Play,Pengguna Google,"Di kolom password, tolong kasih keterangan kalau harus pakai simbol, angka, dsb. Sudah 3 kali akun saya terblokir karena password salah. Gak bisa diandelin pas lagi darurat. Sangat merugikan",2024-11-16 07:21:51
Google Play,Pengguna Google,Ngak ribet,2024-11-16 06:31:25
Google Play,Pengguna Google,Busuk di tunggu kode OTP nya tidak masuk² sampe ke blokir sementara karena minta kode OTP nya,2024-11-16 05:58:34
Google Play,Pengguna Google,Sukses terus,2024-11-16 05:52:59
Google Play,Pengguna Google,Sudah d apdet malah suruh masukin no hp tapi kode negara..ga ada indonesia..sangat aneh,2024-11-16 05:44:11
Google Play,Pengguna Google,"aplikasi busuk, saya lebih baik pakai livin mandiri, sorry to say !!!!",2024-11-16 04:50:49
Google Play,Pengguna Google,"mau log in tapi kode negara indonesia tidak ada, sehingga tidak bisa log in. Tolong diperbaiki lagi aplikasinya.",2024-11-16 04:10:37
Google Play,Pengguna Google,"kenapa minta kode OTP gak dikirim2?kalah pun dikirim waktunya sudah lewat,pulsa jadi habis,kenapa gak diperbaiki.",2024-11-16 02:35:26
Google Play,Pengguna Google,Mudah,2024-11-16 02:28:38
Google Play,Pengguna Google,Ko baru buka rekening udah kena 20000 Besok nya kena admin 25000 Ada yg sama gak,2024-11-16 02:09:57
Google Play,Pengguna Google,"Sangat di sayangkan apl ini, awal² memang mudah dah menyenangkan menggunakan nya tapi makin kesini ko makin anehh yaa, padahal saldo saya ga pernah kosong setiap bulan pun pasti kena potongan 10rb nah tapi kenapa setiap ada uang yg baru masuk ke rekening uang yg lama saya juga ikut hilang 10rb bahkan sampe 30rb bener² menebalkan!!!!!!!!!!!",2024-11-16 00:38:21
Google Play,Pengguna Google,"Min kok sekarang jadi lambat ya, kalo abis masukin pin aplikasi muter2nya lama sampe transaksi berhasil. Gak seperti versi sebelumnya satset.",2024-11-16 00:36:35
Google Play,Pengguna Google,Bagus sekarang udah ada notif masuk sama keluar,2024-11-15 23:36:54
Google Play,Pengguna Google,penarikan biaya bulanan tidak pernah ada di riwayat tau tau saldo hilang berkurang. saldo endapanya juga motong sendiri tanpa riwayat tidak seperti bank lainya mau itu saldo endapan mau biaya bulanan ada jelas rinciannya,2024-11-15 23:27:00
Google Play,Pengguna Google,i like this,2024-11-15 21:09:26
Google Play,Pengguna Google,"aplikasi ini mencurigakan,saya buat akun setelah itu kena biaya admint 10 ribu belum ada sebulan sudah dipotong lagi 10 ribu dari saldo saya.aplikasi tidak jelas ini sepertinya.bintang 1 aja dulu biar yg lain tau.",2024-11-15 20:24:41
Google Play,Pengguna Google,"Aneh suka logout sendiri, udah mah setiap mau login otp pake pulsa",2024-11-15 17:37:26
Google Play,Pengguna Google,SANGAT TERBAIK,2024-11-15 16:43:28
Google Play,Pengguna Google,"Sayang fitur pembayaran scan tidak bisa bayar pake kartu kredit, kalau bsa mantep betul",2024-11-15 14:29:04
Google Play,Pengguna Google,parah banget. tiba2 keluar sendiri. di suruh masukin otp smpai bca id terblokir. giliran udh dibuka trus udh reset password ttep aja pas masuk malah keluar lagi suruh masukin otp lagi berulang2,2024-11-15 14:08:50
Google Play,Pengguna Google,The best,2024-11-15 12:27:12
Google Play,Pengguna Google,Joooossss,2024-11-15 11:28:00
Google Play,Pengguna Google,"setiap buka apk selalu minta update heran, bisa bisanya setiap 1 minggu harus update, bukan pelit kuota, tpi risih sama pemberitahuan updanya.",2024-11-15 11:15:56
Google Play,Pengguna Google,Good aplication & User Friendly,2024-11-15 10:36:31
Google Play,Pengguna Google,Aduh gara gara keriset jadi ga bisa buka BCA .harus di masukin no yg 15 angka.saya lupa soal nya blm bikin jrth BCA nya,2024-11-15 09:58:41
Google Play,Pengguna Google,Kenapa harus update terus? Bahkan setiap beberapa hari sekali,2024-11-15 07:25:47
Google Play,Pengguna Google,Mambantuk,2024-11-15 06:10:14
Google Play,Pengguna Google,Mantap sekali puas aplikasi nyah,2024-11-15 05:24:50
Google Play,Pengguna Google,Good,2024-11-15 04:59:50
Google Play,Pengguna Google,Mantapp sukses selalu,2024-11-15 04:49:08
Google Play,Pengguna Google,Token PLN saya Uda isi tapi gak di kirimkan token nya.saldo berkurang,2024-11-15 04:14:18
Google Play,Pengguna Google,Keren,2024-11-15 03:35:27
Google Play,Pengguna Google,Semoga bertambah maju my BCA,2024-11-15 03:32:36
Google Play,Pengguna Google,Fitur lebih lengkap dan mudah digunakan,2024-11-15 03:26:36
Google Play,Pengguna Google,Gk bisa lanjut bikin akun karna npwp gk ke isi,2024-11-15 02:59:55
Google Play,Pengguna Google,Bagus,2024-11-15 02:14:48
Google Play,Pengguna Google,"Update mlu kocak, klo cuma nambahin fitur² kcil/ pretelan pretelan tunggu update besar aja lah, bloon banget it bca",2024-11-15 01:46:39
Google Play,Pengguna Google,GK bsa di klik BCA nya... GK bisa masukin pw gmna ini klo darurat,2024-11-15 01:33:33
Google Play,Pengguna Google,"Aneh, Masa Mau Minta Kodr Verifikasi Pake Pulsa.",2024-11-15 00:54:40
Google Play,Pengguna Google,"Sy nasabah baru coba kasih dukungan dulu aja. Bantu"" kalo ada kendala ya",2024-11-14 23:34:58
Google Play,Pengguna Google,Ok,2024-11-14 20:11:36
Google Play,Pengguna Google,Good,2024-11-14 17:04:29
Google Play,Pengguna Google,Bangke lah disaat dibutuhkan tekeluar pula Account ni asu,2024-11-14 16:26:53
Google Play,Pengguna Google,Suruh masukkan nomor tlp lalu minta update setelahnya tidak bisa di akses masuk sudah 2 kali ini saya harus ke bank BCA untuk minta verifikasi lagi parah,2024-11-14 16:18:07
Google Play,Pengguna Google,update malah login biometrik nya kgk bisa,2024-11-14 16:11:36
Google Play,Pengguna Google,Habis update jd login pke otp mulu ngabisin pulsa anjir... Dah gtu di suruh masukin no tlpn negara indonesianya ga ada kocak,2024-11-14 16:01:02
Google Play,Pengguna Google,"Mau coba mengajukan permohonan kartu kredit, semua form sudah di isi tp di kolom foto tanda tangan muter2 terus sampe sesi habis, berulang ulang begitu terus, sepertinya menunggu upin ipin tumbuh rambut baru bisa, saya kurangi lagi bintangnya",2024-11-14 14:46:58
Google Play,Pengguna Google,Kenapa kalo salah password resetnya ribet bangetgak yg lgsg bisa d selesaikan harus hubungi ini itu pakai pulsa lagi,2024-11-14 14:44:45
Google Play,Pengguna Google,Up date sehari 3x jadi lama mau transaksi,2024-11-14 12:07:53
Google Play,Pengguna Google,good app,2024-11-14 10:50:27
Google Play,Pengguna Google,Ini gimana habis di update ko memasukan sandi ko salah salah truss jafinya keblokirrr padahal sandinya udah betul asatagaa tolong lahh ribet amat sii udah di update ² malah,2024-11-14 10:38:27
Google Play,Pengguna Google,Bagus sangat membantu,2024-11-14 10:24:15
Google Play,Pengguna Google,Setelah Update. BCA ID terblokir aduh sangat di sayangkan kok bisa bgitu.,2024-11-14 10:09:39
Google Play,Pengguna Google,"Bagus, cuma keseringan update",2024-11-14 09:49:53
Google Play,Pengguna Google,mau login aja di persulit banget,2024-11-14 09:21:25
Google Play,Pengguna Google,Capek banget setiap pembaruan gak bisa dibuka.. mesti ke plastore dulu klik update..terus udh gitu mesti masukan id dan sandi ulang..coba contoh IT nya orang seabank.. gak perlu keluar2..inimah repot banget sumpah pas ada orang mau cek2 air karena ada usaha pembayaran malah dibikin lama dan mummet cari2 sandi dan id nya dulu,2024-11-14 09:16:21
Google Play,Pengguna Google,"Ko otp saya tidak muncul terus, padahal sudah ada pulsa nya",2024-11-14 09:10:38
Google Play,Pengguna Google,"aplikasinya sepertinya belum siap 100%, saya coba login ke akun saya sudah memasukka bca id dan password, tapi kok dialihkan ke halaman minta nomor hp, minta nomor rekening dan minta nomor identitas, padahal di hp saya sebelumnya tidak seperti ini, sudah ke cs via instagram jawabannya tidak membantu, terus gimana? saya butuh solusi bukan cuma balasan template",2024-11-14 09:01:40
Google Play,Pengguna Google,Bagus,2024-11-14 08:44:08
Google Play,Pengguna Google,Aplikasinya bagus,2024-11-14 06:46:58
Google Play,Pengguna Google,Mantap,2024-11-14 06:23:07
Google Play,Pengguna Google,Verifikasi wajah gagal terus. Ribet haeus datang ke kantor. BRI lho gk separah ini.,2024-11-14 05:06:43
Google Play,Pengguna Google,Ok dah bner cuman jdi ribet mesti off aksesbilitas dulu buat buka mybca nya,2024-11-14 03:49:15
Google Play,Pengguna Google,Kenapa sering update,2024-11-14 00:12:09
Google Play,Pengguna Google,"susah buat login, harus masukan kode OTP tapi kodenya ga muncul muncul, padahal saya ada pulsa dan simcard di slot utama.. Tolong segera perbaiki!",2024-11-13 22:14:16
Google Play,Pengguna Google,nice,2024-11-13 22:04:35
Google Play,Pengguna Google,Lebih cocok make ini drpda BCA mobile . Karena nominal transfer lebih keliatan titik komanya . Overall keren sih .,2024-11-13 21:57:34
Google Play,Pengguna Google,"APLIKASI MBANKING TERBURUK YANG PERNAH ADA! SEKELAS BCA,MINTA OTP AJA BERBAYAR PULSA, SETIAP UPDATE APLIKASI LOG OUT SENDIRI.JADI OTOMATIS MEMINTA OTP MEMAKAI PULSA. BELUM LAGI BIAYA ADMIN YG CUKUP TINGGI UNTUK TRANSFER/UANG ADMIN BULANAN. NAMA AJA BESAR, APLIKASI KALAH JAUH DARI EWALET LAIN YANG MEMBERIKAN GRATIS TRANSFER KE SEMUA. 👎👎👎👎",2024-11-13 19:09:39
Google Play,Pengguna Google,kenapa login dipersulit bangett suka ke log out sendiri tau tau login harus minta otp lagi mana pake pulsa,2024-11-13 17:35:26
Google Play,Pengguna Google,"Setelah di update malah ga bisa masuk selalu ada notive ""terjadi kesalahan silahkan coba lagi""",2024-11-13 16:47:28
Google Play,Pengguna Google,Habis update kok malah gak bisa di buka,2024-11-13 16:43:35
Google Play,Pengguna Google,"jangan memaksakan untuk update terus. terkadang saya ada keperluan mendesak dan hp saya penuh memorinya. ga bisa dibuka, harus di update dulu. ribet!",2024-11-13 16:43:17
Google Play,Pengguna Google,"Gak Jelas , Makin Di Update Makin Sering Gangguan Sering Tidak Bisa Login !!",2024-11-13 16:43:12
Google Play,Pengguna Google,Abis update malah ga bisa login ko?,2024-11-13 16:41:35
Google Play,Pengguna Google,"Turun 2 bintang karna sering error saat login, jaringan lancar, dicek di aplikasi lain jg lancar, cuma mybca doang yg loading lama bgt. Klo update terus tp sering error sama aja boong",2024-11-13 16:40:32
Google Play,Pengguna Google,Kebanyakan trobel,2024-11-13 16:40:31
Google Play,Pengguna Google,Setelah di update malah gabisa login,2024-11-13 16:39:48
Google Play,Pengguna Google,"Sejak di update Aplikasi tambah berat, loginaja susah",2024-11-13 16:38:04
Google Play,Pengguna Google,Update aja terus mau buka susah aneh lelet,2024-11-13 16:37:52
Google Play,Pengguna Google,Sangat memuaskan,2024-11-13 16:35:45
Google Play,Pengguna Google,Good,2024-11-13 16:35:33
Google Play,Pengguna Google,Apk bagus cuma tolong jangan sering update,2024-11-13 16:06:31
Google Play,Pengguna Google,Sangat bagus,2024-11-13 15:29:47
Google Play,Pengguna Google,"TTD sudah bener bilang gak sesuai kalau harus bener"" nyamakan persis di KTP smua orang gak bisa ruwet bikin onlen",2024-11-13 15:10:54
Google Play,Pengguna Google,"Ko update lagi.baru juga kemarin di update sekarang harus update lagi, cepet banget..",2024-11-13 15:06:41
Google Play,Pengguna Google,Bagus memudahkan akses semua,2024-11-13 14:35:28
Google Play,Pengguna Google,Login selalu bermasalah,2024-11-13 13:54:02
Google Play,Pengguna Google,Gak bisa diinstal,2024-11-13 13:31:23
Google Play,Pengguna Google,Bca tolong gk perlu sering update data ...kasian ram d hp faham gak,2024-11-13 12:47:40
Google Play,Pengguna Google,"Gak sekalian aja tiap hari update, seminggu ada kali 3x update",2024-11-13 12:02:14
Google Play,Pengguna Google,"Kak ijin saya usul untuk pinjaman, ditambah lagi perusahaannya ky FIF",2024-11-13 11:11:58
Google Play,Pengguna Google,Emg harus seminggu 2x update?,2024-11-13 10:55:32
Google Play,Pengguna Google,"Semakin keren, setiap abis transfer atau dapet transfer lgsg satset dapet notifikasi, jadi gk harus nunggu lama.",2024-11-13 10:38:00
Google Play,Pengguna Google,"Tolong adakan fitur ganti kartu debit online, untuk orang yang tidak sempat ke kantor, apalagi KTP saya selalu tidak terbaca oleh mesin digital. IDK, tapi sungguh saya sangat butuh ganti kartu via My BCA, jika d logiinkan d Bca mobile, entah kenapa ga bisa bisa.",2024-11-13 10:00:31
Google Play,Pengguna Google,Mantap,2024-11-13 09:28:38
Google Play,Pengguna Google,Susah masuk katanya nmr hp saya tidak terdaftar,2024-11-13 09:25:19
Google Play,Pengguna Google,Mudah dan sangat membantu,2024-11-13 09:19:49
Google Play,Pengguna Google,saldo nya sering kepotong padahal ga pernah beli apapun,2024-11-13 08:39:42
Google Play,Pengguna Google,Sangat membantu dalam berbagai kebutuhan dan transaksi perbankkan,2024-11-13 08:25:42
Google Play,Pengguna Google,Update mulu gembel,2024-11-13 08:12:27
Google Play,Pengguna Google,Top,2024-11-13 08:05:25
Google Play,Pengguna Google,Kebanyakan update min,2024-11-13 07:49:42
Google Play,Pengguna Google,Sangat puas,2024-11-13 07:37:52
Google Play,Pengguna Google,"Tolong dong Pihak BCA,,Saya Di TF duit 100K Kenapa tiba tiba Saya Cek Ke Bank Tinggal 50 K,,Dan Itu Saya Tidak Pernah Merasa Pakai Duit Itu,Kenapa Tiba tiba Duit saya Hilang 50K tanpa sebab",2024-11-13 06:47:50
Google Play,Pengguna Google,Good Job,2024-11-13 06:44:44
Google Play,Pengguna Google,"Baru buka rekening akhir Oktober, ternyata buka rekening online gampang yah",2024-11-13 06:23:19
Google Play,Pengguna Google,"Saya bikin rek baru,minta kode verifikasi waktunya 1mnt dikirim nya lama hingga minta ulang terus.",2024-11-13 06:21:18
Google Play,Pengguna Google,udah kren . ada notif uang masuk dan keluar,2024-11-13 05:10:48
Google Play,Pengguna Google,Knp saya tidak menerima kode otp,2024-11-13 03:50:38
Google Play,Pengguna Google,Harus sering update aplikasi terus. Mengganggu dan menyebalkan,2024-11-13 03:46:31
Google Play,Pengguna Google,"Update terooos, sebulan 2 kali",2024-11-13 03:33:14
Google Play,Pengguna Google,"Yang bener aja seminggu sekali suruh update terus, dikira kuota dapet gratisan dari pemerintah",2024-11-13 03:26:08
Google Play,Pengguna Google,Selalu amanah aman untuk nasabah sukses bca,2024-11-13 03:20:49
Google Play,Pengguna Google,Mantap,2024-11-13 03:14:10
Google Play,Pengguna Google,bca selalu memberikan pelayanan yang terbaik,2024-11-13 02:49:01
Google Play,Pengguna Google,Cukup membantu,2024-11-13 01:53:27
Google Play,Pengguna Google,Mohon di perhatikan ini aplikasi sering banget untuk update terus tetapi hasilnya sama saja tidak ada bedanya. Klo mau update mestinya ada perubahan.,2024-11-13 01:34:40
Google Play,Pengguna Google,Verifikasi wajah selalu gagal padahal sudah sesuai dan benar. Video call tidak menyelesaikan masalah,2024-11-13 01:02:53
Google Play,Pengguna Google,"Transaksi lebih cepat, aman dan nyaman",2024-11-13 00:52:41
Google Play,Pengguna Google,apk sudah cocok nyaman ga harus update lagi. tambahin fitur topup ewallet kesemua gratis tanpa potongan diawal dan diakhir,2024-11-13 00:44:10
Google Play,Pengguna Google,sangat memuaskan dlm transaksi,2024-11-13 00:23:39
Google Play,Pengguna Google,Bagus banget,2024-11-13 00:12:38
Google Play,Pengguna Google,Untuk aplikasinya udah bagus ada notifikasi transaksi masuk atau keluar. Yang membuat agak kecewa pengajuan paylater selalu di tolak,2024-11-12 23:54:57
Google Play,Pengguna Google,Pembaruan bukanya lebih bagus malah bikin lemot.. Tolol,2024-11-12 23:42:36
Google Play,Pengguna Google,Kocak gagal terus pas mau login apa apa update,2024-11-12 22:51:51
Google Play,Pengguna Google,"Tingkatkan lagi kemudahannya utk selalu terdepan dalam inovasi mobile perbankannya,sekarang semakin lebih fleksibel dan sangat simple penggunaannya.rate 4 dulu naik pangkat dari rate 1 kemarin² rate 5 menyusul. Semoga semakin terupdate fitur² keren selanjutnya.",2024-11-12 22:11:50
Google Play,Pengguna Google,Ok mntap Pokoke,2024-11-12 20:29:51
Google Play,Pengguna Google,Tidak bisa diakses karena fitur aksesibilitas,2024-11-12 17:43:05
Google Play,Pengguna Google,Bagus,2024-11-12 16:46:51
Google Play,Pengguna Google,"kecewa sekali dengan mybca ngajuin paylater pertama x ditolak disuruh ajuin sampai bulan Oktober,trus ngajuin lagi di bulan november ditolak lagi sampai bulan Januari thn depan",2024-11-12 16:30:34
Google Play,Pengguna Google,"Tolong diperbaiki lah, sekelas bca masa iya saya transaksi qris my bca tgl 11 nov 2024. Sedang dalam proses tapi saldo sudah berkurang, saya hubungin call center bca suruh nunggu 1 hari kerja buat proses refund. Tgl 12 nov 2024 saya hubungi lg call center suruh nunggu lagi sampe tgl 11 des 2024, malah kaya dipermainkan. gajelas kayagini, jujur kecewa bgt si sama bca. Tolong diperbaiki lahh yg kayagini, jgn malah buat kecewa ke customer/nasabah bca",2024-11-12 15:55:01
Google Play,Pengguna Google,Bca itu terkenal dengan keribet an verifikasi wajahnya...,2024-11-12 15:20:45
