clean_text,sentimen
NOMER GUA MASIH ADA PULSA   TAPI KENAPA KODE OTP NY GA KEKIRIM2  TOLONG LAH UNTUK ADMIN BCA GW MAU LOGIN DAN TRANSAKSI TAPI MALAH LU RIBETIN   SIALAN,negatif
Ok bagus,positif
Mudah dan bebas hambatan,positif
Memang aplikasi gak guna beda tanda tangan sedikit gak bisa register,negatif
Tambah wawasan,negatif
Mantap memuaskan,positif
Bagus dan kembangkan terus,positif
apk paling buruk,negatif
Pelayanan BCA semakin terdepan buat Indonesia Terima kasih  ,negatif
Bca trobel,negatif
Males ada maintenance udah potongan tiap bulan gede bikin GK nyaman pake mbanking,positif
Sering pemeliharaan bukan semakin bagus malah semakin jlk pemeliharaan sering   Tp kualitas jlk,positif
Mantap,positif
Kecewa asli mana harus di batesin jam 01 05 pagi kaga bisa transfer  ,negatif
membantu saya untuk menyimpan uang,negatif
Sangat bagus,positif
 ,negatif
apa sih ini apk gak jelas  selalu eror bug la  padahal udah daftar sidik jari tapi gak selalu keluar di suruh daftar ulang  masalahnya saya pelupa,negatif
Idiet  mengirimkan kode otp lama sekali  Seperti menunggu Emyu untuk menang ,positif
Siap bgt biasanya tgl 18 20 skrg tgl 15 udah ada potongan admin   Nyesel bgt di tf in ke BCA  mana sisa 50 akhirnya gabisa di bawa jadi gelandangan udah ini mah sial bgt nyesel pake di transfer keBCA,negatif
Update sebulan sekali biar apa min ,positif
Kurangilah update nya masa belum ada satu bulan bisa update 3 sampe 4 kali,negatif
Kode OTP via SMS gak pernah masuk ,negatif
Niceee,negatif
Pembayaran Pakai Debit Suka Kegantung Mulu   Di Merchant Saldo Tidak Masuk  Di Pemilik Debit Sudah Kepotong Saldonya   Tolong Diperbarui Lagi Buat Pembayaran Lewat Debit   NYUSAHIN KAN KALAU BEGINI BUANG BUANG WAKTU HARUS TELPON BCA DULU  ,negatif
Apa apa di potong gak jelas admin tggl 1 potong tanggal 16 udh kena potong nyekek amat admin nya sekarang,positif
Pelayanan sangat bagusss,positif
Sangatbpenting,positif
Kenapa susah login nya nggk bisa klik lanjut,negatif
Di kolom password  tolong kasih keterangan kalau harus pakai simbol  angka  dsb  Sudah 3 kali akun saya terblokir karena password salah  Gak bisa diandelin pas lagi darurat  Sangat merugikan,negatif
Ngak ribet,positif
Busuk di tunggu kode OTP nya tidak masuk  sampe ke blokir sementara karena minta kode OTP nya,negatif
Sukses terus,positif
Sudah d apdet malah suruh masukin no hp tapi kode negara ga ada indonesia sangat aneh,negatif
aplikasi busuk  saya lebih baik pakai livin mandiri  sorry to say  ,negatif
mau log in tapi kode negara indonesia tidak ada  sehingga tidak bisa log in  Tolong diperbaiki lagi aplikasinya ,negatif
kenapa minta kode OTP gak dikirim2 kalah pun dikirim waktunya sudah lewat pulsa jadi habis kenapa gak diperbaiki ,negatif
Mudah,positif
Ko baru buka rekening udah kena 20000 Besok nya kena admin 25000 Ada yg sama gak,negatif
Sangat di sayangkan apl ini  awal  memang mudah dah menyenangkan menggunakan nya tapi makin kesini ko makin anehh yaa  padahal saldo saya ga pernah kosong setiap bulan pun pasti kena potongan 10rb nah tapi kenapa setiap ada uang yg baru masuk ke rekening uang yg lama saya juga ikut hilang 10rb bahkan sampe 30rb bener  menebalkan ,positif
Min kok sekarang jadi lambat ya  kalo abis masukin pin aplikasi muter2nya lama sampe transaksi berhasil  Gak seperti versi sebelumnya satset ,positif
Bagus sekarang udah ada notif masuk sama keluar,positif
penarikan biaya bulanan tidak pernah ada di riwayat tau tau saldo hilang berkurang  saldo endapanya juga motong sendiri tanpa riwayat tidak seperti bank lainya mau itu saldo endapan mau biaya bulanan ada jelas rinciannya,negatif
i like this,negatif
aplikasi ini mencurigakan saya buat akun setelah itu kena biaya admint 10 ribu belum ada sebulan sudah dipotong lagi 10 ribu dari saldo saya aplikasi tidak jelas ini sepertinya bintang 1 aja dulu biar yg lain tau ,negatif
Aneh suka logout sendiri  udah mah setiap mau login otp pake pulsa,negatif
SANGAT TERBAIK,positif
Sayang fitur pembayaran scan tidak bisa bayar pake kartu kredit  kalau bsa mantep betul,negatif
parah banget  tiba2 keluar sendiri  di suruh masukin otp smpai bca id terblokir  giliran udh dibuka trus udh reset password ttep aja pas masuk malah keluar lagi suruh masukin otp lagi berulang2,negatif
Ahh taiii TLP operator mahal bgt ,negatif
The best,positif
Joooossss,negatif
setiap buka apk selalu minta update heran  bisa bisanya setiap 1 minggu harus update  bukan pelit kuota  tpi risih sama pemberitahuan updanya ,negatif
Good aplication   User Friendly,positif
Aduh gara gara keriset jadi ga bisa buka BCA  harus di masukin no yg 15 angka saya lupa soal nya blm bikin jrth BCA nya,negatif
Kenapa harus update terus  Bahkan setiap beberapa hari sekali,negatif
Mambantuk,negatif
Mantap sekali puas aplikasi nyah,positif
Good,positif
Mantapp sukses selalu,positif
Token PLN saya Uda isi tapi gak di kirimkan token nya saldo berkurang,negatif
Keren,negatif
Semoga bertambah maju my BCA,negatif
Fitur lebih lengkap dan mudah digunakan,positif
Gk bisa lanjut bikin akun karna npwp gk ke isi,negatif
Bagus,positif
Update mlu kocak  klo cuma nambahin fitur  kcil  pretelan pretelan tunggu update besar aja lah  bloon banget it bca,negatif
GK bsa di klik BCA nya  GK bisa masukin pw gmna ini klo darurat,negatif
Aneh  Masa Mau Minta Kodr Verifikasi Pake Pulsa ,negatif
Sy nasabah baru coba kasih dukungan dulu aja  Bantu  kalo ada kendala ya,positif
Ok,positif
Good,positif
Bangke lah disaat dibutuhkan tekeluar pula Account ni asu,positif
Suruh masukkan nomor tlp lalu minta update setelahnya tidak bisa di akses masuk sudah 2 kali ini saya harus ke bank BCA untuk minta verifikasi lagi parah,negatif
update malah login biometrik nya kgk bisa,negatif
Habis update jd login pke otp mulu ngabisin pulsa anjir  Dah gtu di suruh masukin no tlpn negara indonesianya ga ada kocak,positif
Mau coba mengajukan permohonan kartu kredit  semua form sudah di isi tp di kolom foto tanda tangan muter2 terus sampe sesi habis  berulang ulang begitu terus  sepertinya menunggu upin ipin tumbuh rambut baru bisa  saya kurangi lagi bintangnya,positif
Kenapa kalo salah password resetnya ribet bangetgak yg lgsg bisa d selesaikan harus hubungi ini itu pakai pulsa lagi,negatif
Up date sehari 3x jadi lama mau transaksi,negatif
good app,positif
Ini gimana habis di update ko memasukan sandi ko salah salah truss jafinya keblokirrr padahal sandinya udah betul asatagaa tolong lahh ribet amat sii udah di update   malah,negatif
Bagus sangat membantu,positif
Setelah Update  BCA ID terblokir aduh sangat di sayangkan kok bisa bgitu ,negatif
Bagus  cuma keseringan update,positif
mau login aja di persulit banget,negatif
Capek banget setiap pembaruan gak bisa dibuka  mesti ke plastore dulu klik update terus udh gitu mesti masukan id dan sandi ulang coba contoh IT nya orang seabank  gak perlu keluar2 inimah repot banget sumpah pas ada orang mau cek2 air karena ada usaha pembayaran malah dibikin lama dan mummet cari2 sandi dan id nya dulu,positif
Ko otp saya tidak muncul terus  padahal sudah ada pulsa nya,negatif
aplikasinya sepertinya belum siap 100  saya coba login ke akun saya sudah memasukka bca id dan password  tapi kok dialihkan ke halaman minta nomor hp  minta nomor rekening dan minta nomor identitas  padahal di hp saya sebelumnya tidak seperti ini  sudah ke cs via instagram jawabannya tidak membantu  terus gimana  saya butuh solusi bukan cuma balasan template,positif
Bagus,positif
Aplikasinya bagus,positif
Mantap,positif
Verifikasi wajah gagal terus  Ribet haeus datang ke kantor  BRI lho gk separah ini ,negatif
Ok dah bner cuman jdi ribet mesti off aksesbilitas dulu buat buka mybca nya,positif
Kenapa sering update,negatif
susah buat login  harus masukan kode OTP tapi kodenya ga muncul muncul  padahal saya ada pulsa dan simcard di slot utama  Tolong segera perbaiki ,negatif
nice,positif
Lebih cocok make ini drpda BCA mobile   Karena nominal transfer lebih keliatan titik komanya   Overall keren sih  ,positif
APLIKASI MBANKING TERBURUK YANG PERNAH ADA  SEKELAS BCA MINTA OTP AJA BERBAYAR PULSA  SETIAP UPDATE APLIKASI LOG OUT SENDIRI JADI OTOMATIS MEMINTA OTP MEMAKAI PULSA  BELUM LAGI BIAYA ADMIN YG CUKUP TINGGI UNTUK TRANSFER UANG ADMIN BULANAN  NAMA AJA BESAR  APLIKASI KALAH JAUH DARI EWALET LAIN YANG MEMBERIKAN GRATIS TRANSFER KE SEMUA   ,positif
kenapa login dipersulit bangett suka ke log out sendiri tau tau login harus minta otp lagi mana pake pulsa,negatif
Setelah di update malah ga bisa masuk selalu ada notive  terjadi kesalahan silahkan coba lagi ,negatif
Habis update kok malah gak bisa di buka,negatif
jangan memaksakan untuk update terus  terkadang saya ada keperluan mendesak dan hp saya penuh memorinya  ga bisa dibuka  harus di update dulu  ribet ,positif
Gak Jelas   Makin Di Update Makin Sering Gangguan Sering Tidak Bisa Login  ,positif
Abis update malah ga bisa login ko ,negatif
Turun 2 bintang karna sering error saat login  jaringan lancar  dicek di aplikasi lain jg lancar  cuma mybca doang yg loading lama bgt  Klo update terus tp sering error sama aja boong,positif
Kebanyakan trobel,positif
Setelah di update malah gabisa login,negatif
Sejak di update Aplikasi tambah berat  loginaja susah,negatif
Update aja terus mau buka susah aneh lelet,negatif
Sangat memuaskan,positif
Good,positif
Apk bagus cuma tolong jangan sering update,positif
Sangat bagus,positif
TTD sudah bener bilang gak sesuai kalau harus bener  nyamakan persis di KTP smua orang gak bisa ruwet bikin onlen,negatif
Ko update lagi baru juga kemarin di update sekarang harus update lagi  cepet banget ,positif
Bagus memudahkan akses semua,positif
Login selalu bermasalah,negatif
Gak bisa diinstal,negatif
Bca tolong gk perlu sering update data  kasian ram d hp faham gak,negatif
Gak sekalian aja tiap hari update  seminggu ada kali 3x update,negatif
Kak ijin saya usul untuk pinjaman  ditambah lagi perusahaannya ky FIF,negatif
Emg harus seminggu 2x update ,negatif
Semakin keren  setiap abis transfer atau dapet transfer lgsg satset dapet notifikasi  jadi gk harus nunggu lama ,negatif
Tolong adakan fitur ganti kartu debit online  untuk orang yang tidak sempat ke kantor  apalagi KTP saya selalu tidak terbaca oleh mesin digital  IDK  tapi sungguh saya sangat butuh ganti kartu via My BCA  jika d logiinkan d Bca mobile  entah kenapa ga bisa bisa ,positif
Mantap,positif
Susah masuk katanya nmr hp saya tidak terdaftar,negatif
Mudah dan sangat membantu,positif
saldo nya sering kepotong padahal ga pernah beli apapun,negatif
Sangat membantu dalam berbagai kebutuhan dan transaksi perbankkan,positif
Update mulu gembel,negatif
Top,positif
Kebanyakan update min,positif
Sangat puas,positif
Tolong dong Pihak BCA Saya Di TF duit 100K Kenapa tiba tiba Saya Cek Ke Bank Tinggal 50 K Dan Itu Saya Tidak Pernah Merasa Pakai Duit Itu Kenapa Tiba tiba Duit saya Hilang 50K tanpa sebab,negatif
Good Job,positif
Baru buka rekening akhir Oktober  ternyata buka rekening online gampang yah,positif
Saya bikin rek baru minta kode verifikasi waktunya 1mnt dikirim nya lama hingga minta ulang terus ,positif
udah kren   ada notif uang masuk dan keluar,positif
Knp saya tidak menerima kode otp,negatif
Harus sering update aplikasi terus  Mengganggu dan menyebalkan,negatif
Update terooos  sebulan 2 kali,negatif
Yang bener aja seminggu sekali suruh update terus  dikira kuota dapet gratisan dari pemerintah,positif
Selalu amanah aman untuk nasabah sukses bca,positif
Mantap,positif
bca selalu memberikan pelayanan yang terbaik,positif
Cukup membantu,negatif
Mohon di perhatikan ini aplikasi sering banget untuk update terus tetapi hasilnya sama saja tidak ada bedanya  Klo mau update mestinya ada perubahan ,positif
Verifikasi wajah selalu gagal padahal sudah sesuai dan benar  Video call tidak menyelesaikan masalah,negatif
Transaksi lebih cepat  aman dan nyaman,positif
apk sudah cocok nyaman ga harus update lagi  tambahin fitur topup ewallet kesemua gratis tanpa potongan diawal dan diakhir,positif
sangat memuaskan dlm transaksi,positif
Bagus banget,positif
Untuk aplikasinya udah bagus ada notifikasi transaksi masuk atau keluar  Yang membuat agak kecewa pengajuan paylater selalu di tolak,negatif
Pembaruan bukanya lebih bagus malah bikin lemot  Tolol,negatif
Kocak gagal terus pas mau login apa apa update,positif
Tingkatkan lagi kemudahannya utk selalu terdepan dalam inovasi mobile perbankannya sekarang semakin lebih fleksibel dan sangat simple penggunaannya rate 4 dulu naik pangkat dari rate 1 kemarin  rate 5 menyusul  Semoga semakin terupdate fitur  keren selanjutnya ,positif
Ok mntap Pokoke,positif
Tidak bisa diakses karena fitur aksesibilitas,negatif
Bagus,positif
kecewa sekali dengan mybca ngajuin paylater pertama x ditolak disuruh ajuin sampai bulan Oktober trus ngajuin lagi di bulan november ditolak lagi sampai bulan Januari thn depan,negatif
Tolong diperbaiki lah  sekelas bca masa iya saya transaksi qris my bca tgl 11 nov 2024  Sedang dalam proses tapi saldo sudah berkurang  saya hubungin call center bca suruh nunggu 1 hari kerja buat proses refund  Tgl 12 nov 2024 saya hubungi lg call center suruh nunggu lagi sampe tgl 11 des 2024  malah kaya dipermainkan  gajelas kayagini  jujur kecewa bgt si sama bca  Tolong diperbaiki lahh yg kayagini  jgn malah buat kecewa ke customer nasabah bca,negatif
Bca itu terkenal dengan keribet an verifikasi wajahnya ,positif
masih tidak bisa terpakai untuk aplikasinya  verifikasi identitas terus  aplikasinya tidak bisa dipakai  lama lama saya uninstall nih aplikasi    padahal jaringan stabil,negatif
bug jaringan tolong di perbaiki  padahal koneksi jaringan internet bagus tapi tetap loading nya lama untuk transaksi  sangat tidak nyaman untuk pengguna  semoga cepat di perbaiki,positif
Ok,positif
Bulan ini  nov  sudah 2 kali Update  bulan lalu apdate  Aplikasinya minta update terus  Ini aplikasinya nyari apa sih  ,negatif
Lebih mudah pengoperasiannya,negatif
Langsung uninstal gara gara bikin rekening onlain susah,negatif
Kode negara Indonesia tidak ada,negatif
tolong ditingkatkan lgi buat fitur bisa ganti nomer lewat aplikasi dengan mudah seperti bank lain jdi gk perlu ke tempat bank agar dapat mempermudah urusan,positif
Halo BCA saya seberapa kali mau masukan BCA ID tapi selalu gagal katanya ID Saya sedang di blokir bulan semtember kemaren Saya ke BCA hongkong cabang CWB katanya Saya sekarang harus pake E banking pada waktu system aplikasi sedang error dan Saya di buatkan BCA ID di suruh nyeting sendiri di rumah nunggu sistem uplikasi ok dulu tapi Saya selalu gagal untuk nyeting E bangking selalu dapat SMS ID bca Anda sedang di blokir hari ini Saya ke BCA CWB ternyata sudah tutup dan tidak dan tutup ,positif
Pelayanan BCA Bumiayu sangat puas sekali   ramah ramah,positif
ini kenapa otp nya gak dapat ya  baik di mybca sama bca mobile  gimana mau login,negatif
Baru kali ini dibentak cs,positif
Jangan tanya BCA is the best,positif
Kenapa tidak ada nomor seri  62  negara indonesia,negatif
sangat memuaskan,positif
Parah sih ini masak iya tiba tiba akun my BCA log out sendiri  mending klu tinggal login aja  lah ini harus verifikasi OTP SMS yg sangat menguras pulsa  kejadiannya pun berulang kali   teman saya jg sering mengalami hal tsb  Pernah komplain ke Halo BCA  trus ditanya apakah ganti smartphone  tak jawab engga krn mmg tdk ganti smartphone  Semoga ada langkah solutif utk kedepannya  sehingga Nasabah tdk dirugikan dg hal tsb ,positif
Satu lagi tolong sediain opsi ganti no hp jngn sampe hrs ke kantor cabang jauh dan menyita waktu ,positif
Rill bintang 5 karna gajian gw ke bca,negatif
Bagus,positif
semua nya sdh Oke,positif
mantap suksess teruus pokok nya buat bca,positif
ok,positif
Mau login gak bisa  pas masukin kode negara buat telp  tidak ada pilihan Indonesia   62,negatif
Untuk aplikaainya sih cukup komplit cuma sayang setiap di buka selalu minta update harusnya klo update itu saran saya per 3bulan aja  Tks,positif
Tolong admin  MyBCA di redmi 8 untuk bagian setting call center   keluar  ui atas pojok kanan  tidak bisa di klik  Tolong perbaiki bug ini  ,positif
Kirain mudah daftar sesuai petunjuk  kayaknya harus ke kantor juga,positif
Tidak ada kode negara Indonesia  62 ANEH  alhasil tidak bisa login,negatif
dari riwayat mutasi uang masuk  tapi di info saldo rekening tidak ada  tolong penjelasannya,negatif
Keren aplikasinya,positif
Update Mulu perasaan sekarang min ,negatif
sering update mulu menuh menuhin memory tidak di update tidak bisa di buka aplikasinya update itu sesekali tapi langsung yang terbaru ini kok sama aja tidak ada perubahan di dalam aplikasi  ,positif
Sama aja dengan BCA mobile  banyak bug nya  accebility nya udah di matikan  masih aja error  pakek hape lainnya mau  tapi ketika masuk halaman agreement  nge load nya sampai tidak mau menanggapi aplikasinya  please lah BCA  tolong perbaiki  developerl u kalau belum fix aplikasinya jangan di release lah ,negatif
Bener bagis sangat ngadukung,positif
nice,positif
Mantap,positif
Sangat mudah digunakan dan praktis  memudahkan kita dalam melakukan transaksi sukses selalu my BCA,positif
Ada yang tf ga masuk  trus isi saldo 200rb satu hari langsung abis semua  Gara gara bikin lewat seles tll,positif
Sangat praktis mudah saat transaksi,positif
Bagus,positif
Lebih mudah dan lengkap,positif
kok minta OTP terus  berkali kali,negatif
Simple enak dan praktis,positif
Ok,positif
Mantap,positif
Utas aplikasi ini,negatif
Bagus,positif
baru aja 4 hari yg lalu saya update  masa skrng minta update lagi  yg bener aja dong  ya ga mngkin dong stiap 7 hari sekali saya update ini aplikasi  penyimpanan ponsel saya tidak sama sprti laptop pc  yg sanggup menampung software hingga 1 TB bhkan lebih  kita sama  butuh  jadi saling pengertiannya aja ya  ,positif
Mantab ada fitur pengeluaran dan pemasukan,positif
Tidak bisa masuk harus menambahkan nomor telp tp pilihan negara indonesia tidak ada,negatif
Bagus aplikasinya  jadi lebih mudah membantu aktivitas  tapi knpa akhir2 ini update dlm sebulan bisa lebih dari 5 kali yah,positif
Sulit sekali jika kartu terblokir,negatif
Cukup bagus,positif
Dr semua aplikasi mbanking  Cm myBCA yg the best   Lengkap dan mudah,positif
Alhamdulillah sangat membantu dalam memenuhi kebutuhan,positif
Ga sesimple yg gw ikutin  Dikira all in online tapi tetap ajah harus aktivasi ke kantor cabang  dengan minim informasi yg disampaikan cs ,negatif
Dengan Akun Bisnis,negatif
good,positif
Tak kasih bintang 5 karena limit tf bca tinggi bikin mudah transaksi  tapi karena saya pindah di area pacitan mau setor tunai gak ad kantor ataupun ATM bca  Segera buka boz untuk area pacitan,positif
bermanfaat,negatif
Mantap bca,positif
Sya kcewa knapa duit sya  jdi berkurang  Padahal blom d pke ,negatif
Mantap,positif
Prasaan d suruh update mulu dah ,negatif
Daftar paylater lo susah,negatif
jangan gunakan aplikasi ini untuk transaksi beli token listrik  krn saya ada pengalaman error  dan pihak bca tidak bisa meneluri dengan baik  setelah 4x saya hubungi halo bca  hasilnya tetap  dan saya harus mengikhlaskan uang saya ,positif
gajelas semenjak diupdate id padahal gasalah ketik malah keblokir  kode otp ga masuk masuk  pulsa sampe berapa kali isi  kuota penuh wifi lancar sinyal aman  call cs pada ganiat dihallobca apk mending pake mbca dah sekarang walaupun versi jadul ,positif
Sekarang bikin rekening gk perlu ke bank langsung  udh bisa online dan cepat,positif
Ok,positif
Hampir sebulan saya pesan kode qris cuma di telpon doang kalo gda duitnya g proses proses gimana bca Tangerang inj,negatif
Cair,negatif
Ini sangat bagus buat bertransaksi atau menerima uang cas,positif
Baru berapa hari  ada notif Update lagi,negatif
Bug susah masuk,negatif
Mohon untuk diperbaiki lagi demi kenyamanan pengguna tanpa nonaktifkan fitur smartphone kami,negatif
Baik,positif
Update mulu tai,negatif
Penting untuk saya,positif
Superapp   ,negatif
sering blok ID MyBCA  gegara salah fingerprint  padahal klo salah fingerprint kan bisa delay login  coba diperbaiki update lah kk  Sama klo abis update otomatis aplikasi selalu blok id juga,negatif
Di tolak terus kartu kredit sama payLaternya kalau gini tetus auto ga pake lagi bca bikin pusing  ,negatif
Nasabah Jutaan  Aplikasi sama ATM masih lelet,negatif
Tolong dong ada fitur memindah nomor rekening simpanan dari aplikasi bca lama ke yang baru,positif
Pengoprasiannya mudah dan simpel mantapp,positif
Alhamdulillah sangat membantu sekali,positif
Udh 2x beli paketan di aplikasi mybca tapi malah gak masuk  padahal saldo udh kepotong,negatif
sangat baik mengunakan myBCA,positif
Sangat handal,positif
Buruk sekali aplikasinya  Masa baru aktivitasi gx bisa login ke akun   ,negatif
Proses pembuatan cepat dan ngak ribet,positif
dengan apliksi my BCa sgala nya jd mudah proses pembayaran apa pun,positif
Bagus sangat membantu sekali buat kebutuhan saya,positif
Sangat membantu,positif
Kirain update terbaru udah seperti dulu lagi  eeh ternyata masih harus nonaktifkan aksesibilitas,positif
Fitur Aksesibilitas sudah off tetep gak bisa masuk ke MyBCA juga BCA Mobile  padahal bank lain lancar  Sudah di chat di Hallo BCA juga belum ada solusinya  bahkan orang lain pun sama terbuka di Media Konsumen masalah Aksesibilitas di MyBCA mobile juga ada yang bahas,positif
Aplikasinya asyik,positif
Tgl 06 nov 24 ditawari menggunakan myBCA dengan sales  akhirnya mendaftar karena sales bilang akan dpt saldo sebesar 100rb  tapi sangat disayangkan secara diam2 sales melihat otp yg dikirim ke hp saya keesokan paginya tiba2 ada transaksi mutasi trf sebesar 90rb ke rek BCA syariah a n Erawati Septia  setelah trf baru sales memberikan password dan pin untuk menggunakan myBCA  Permainan kah kata sales itu biaya pengaktifan  OTP  pin  password RAHASIA kan  90rb per nasabah HEBAT,negatif
paling terbaik,positif
Ok,positif
ini update terbaru masih sama aja isu nya kirain update baru bakal fix kan masalah aksesibilitas,positif
Aplikasi yg mudah lengkap dan lancar,positif
Makin hari makin sip  Pengaduan ga harus pindah aplikasi cashplow ada masuk dan keluar ganti pin kartu debit via app yang belum ada akses cepat dll Selebihnya bagus   ,positif
Kalau bisa tingkatkan keamanan sistem BCA,negatif
Aplikasi lemot  Lebih stabil BCA mobile,positif
Andalan,negatif
Mantap aplikasinya ,positif
Transaksi di luar my BCA tidak terrecord di aplikasi ini  Misal ambil uang tunai di ATM  tidak muncul di riwayat transaksi,negatif
kode otp susah  kenapa gak lewat wa atau email aja kirim otp nya ,negatif
Suruh update males w buat apa Jd males transaksi pake bca 2 kali pengajuan paylater di tolak harus ngajuin lagi 3 bulan berikutnya males banget ngapain juga ada paylater,negatif
Bagus sih tapi payah bnget masuk dan buat rekening  ,positif
ZULISTIAN Sangat Suka Aplikasi myBCA   Terutama Di Progam Pengambilan uang tanpa Kartu ATM  ,positif
Simple,negatif
APK bagus tapi saya mengalami kendala saat login id  saya berulang kali memasukan nomor tlp nomor rek dll ,positif
wah aplikasi nya keren  dengan fitur yang lengkap bikin kita terasa nyaman untuk pakai my BCA mantappp ,positif
Bagus,positif
Mantap,positif
Sayang sekali aplikasi hanya bisa digunakan dengan mengorbankan fitur aksesabilitas  Sama dengan aplikasi BCA M Banking  Mungkin pihak BCA bisa memberi penjelasan mengapa demikian  Terima kasih ,negatif
Jujur aplikasi ini sering minta update trus jadi ngerasa ribet buat saya  bisa gak fitur itu di kurangi soalnya pas buka aplikasi suka minta update trus padalah udh pake aplikasi ini cukup lama ,positif
Setelah update terbaru malah jadi lemot  sebelum update lancar dan smooth ,positif
Ringan dan Responsif,positif
Lebih komplittt,positif
Baik,positif
untuk operasional nya mantap,negatif
Di update malah jadi lemot,negatif
apalah  masa ga bisa dibuka  padahal wifi baik  aja  password betul  buka halo bca juga ga bisa,positif
Pas udh masuk   yg muncul selalu tambahkan no hp   saya udh uninstall berulang kali dan instal berkali  tetep sama   pas masuk selalu yg muncul tambahkan no hp   buruk sekali,negatif
Aplikasi tidak bisa dibuka sebelum menonaktifkan aksesibilitas  Pengguna disabilitas jadi di piggirkan  Update nya malah rasis ,negatif
Salah satu mobile banking paling bagus dan lengkap,positif
Sangat membantu sekali  ,positif
Oke,positif
aplikasinya lebay bgt  salah password mulu pdhl udah bisa alhasil keblokir  udah gitu pulihinnya ribet bgt  habis pulsa saya ,negatif
Isi saldo GK masuk uang nya  parah banget padahal di mutasi ada riwayatnya  kecewa pake BCA,negatif
Ok ,positif
udah gw nonaktifkan semua yg ada di aksesibilitas tapi kok tetep aja gabisa sih  yg bener aja lahh ,negatif
Kasih fitur yg lebih lengkap kalo bisa ,positif
Seratus kali upload KTP sama wajah suruh di ulang terus,negatif
waktu masuk lemot  tiba  keblokir sendiri  dan padahal ada saldo nya  terus gimana kalo mau tarik tunai atau transfer   TOLONG LAH DI PERBAIKI,negatif
saya mau transfer ke dana ga ada,negatif
Bagus sekali,positif
Bagus,positif
Semoga saldonya banyak terus,positif
Udh ada sistem cashlow finansial masuk nya udh mulai bisa di klik the best bca,positif
Aplikasi simple dan mudah banget dlm penggunaanya,positif
selalu force close jelek apknya,negatif
WORTH IT  ,positif
Sudah Gonta ganti email smpe berkali  masih ttp alamat email tidak dapat di gunakan mkstnya apa,positif
Terlalu ribet verifikasi ktp dan muka mana bisa sich foto di ktp dan foto langsung harus sama sedangkan foto di ktp kebanyakan foto lama masih muda  Masa setiap verifikasi aja harus video call cs kusut nih,negatif
